driverId,week,hours-logged,miles-logged
700,8,73,2800
360,10,64,2300
282,14,65,3500
598,17,54,2700
942,1,62,4000
373,29,63,2300
923,52,72,2900
975,47,78,3400
766,28,61,2400
19,11,53,600
300,8,69,3900
501,23,80,2400
343,47,65,3800
420,43,61,3800
455,38,50,3600
523,31,60,3400
744,34,55,2300
766,10,54,3400
823,10,78,2400
593,6,73,2000
1006,39,57,2400
608,1,65,3300
514,5,52,600
672,6,71,3100
442,24,68,2700
690,6,63,2200
327,4,50,1800
44,10,58,3300
210,16,62,3800
563,36,64,1700
950,40,59,2300
253,22,55,2600
110,7,76,3600
374,26,69,3300
447,42,56,3900
770,25,56,1300
642,23,63,1100
670,18,59,2100
266,41,59,3500
399,30,76,2600
299,43,50,3700
24,11,69,2600
969,49,51,1000
723,42,65,2700
675,48,58,1500
105,36,57,800
58,22,72,3900
39,34,76,2300
951,44,72,2200
489,17,78,2100
421,43,76,0
990,43,70,1300
615,46,60,1900
103,50,74,1800
914,24,66,3500
443,10,66,1700
978,46,50,1900
550,7,60,3400
534,38,57,2500
192,27,67,300
946,19,54,1500
977,42,64,3000
386,52,77,1700
463,15,78,600
234,20,69,2800
615,32,67,0
755,51,72,300
639,25,64,900
122,29,70,2100
885,42,57,2600
722,35,77,900
369,34,53,2600
377,41,61,3600
477,1,50,2700
987,10,70,3100
1000,9,69,1600
315,42,65,400
696,47,73,3600
254,48,59,1800
604,16,80,1300
10,51,59,4000
360,25,62,100
489,35,69,3200
393,3,50,2500
975,19,65,2900
511,18,52,1400
165,17,56,0
723,48,76,1800
321,25,63,3000
569,9,55,2700
368,33,53,100
314,1,78,3500
118,9,53,2700
273,6,71,1200
398,23,80,3200
531,21,68,3700
395,17,56,1400
366,38,66,1500
757,24,51,400
60,42,70,2800
722,10,62,3300
140,2,75,300
705,11,62,300
151,3,60,1600
755,49,51,3000
330,20,51,0
691,24,70,3700
63,18,52,1000
314,30,61,3500
389,49,56,900
650,16,53,1700
325,52,60,600
892,39,72,1300
929,17,79,2100
373,41,63,1900
15,10,77,0
125,42,55,1900
938,5,77,3300
534,50,51,1800
659,17,52,2700
866,51,71,2000
426,12,60,800
247,46,59,2600
940,22,57,1500
939,41,50,2000
894,50,73,100
658,50,57,700
500,45,71,400
894,33,58,1800
806,22,55,2300
193,20,72,3000
808,26,79,100
379,44,80,1500
511,44,71,400
293,51,66,1000
406,26,53,1100
373,37,51,3200
793,34,56,3700
405,21,57,2000
239,47,74,1400
544,8,50,700
359,36,73,2900
699,7,79,3200
66,52,51,600
843,3,67,2800
268,16,75,3200
62,50,58,500
638,15,55,3900
12,4,53,1000
597,40,55,2300
762,43,58,2200
226,40,65,1000
955,26,55,2200
68,20,78,3400
26,21,64,3400
889,8,75,3400
50,17,51,300
454,31,53,500
73,52,78,3000
427,5,68,1600
183,12,69,1600
1009,13,79,1800
110,31,51,1700
12,5,62,1900
263,8,76,2300
861,11,72,1400
316,7,52,2200
59,11,66,3600
63,2,77,3600
923,15,77,3500
889,7,67,200
1000,36,70,2700
731,23,74,1100
827,17,61,3900
890,41,63,3200
880,28,72,1700
664,19,79,2900
861,28,60,3000
168,12,56,700
28,35,75,2300
552,45,61,2500
727,46,64,4000
918,42,75,1800
321,51,75,3700
415,14,50,1600
407,18,68,2400
440,45,66,400
1003,40,60,3400
397,30,72,2400
370,22,51,2300
351,15,70,2300
175,23,75,3800
707,26,61,3300
74,34,68,600
83,33,62,1200
411,23,50,2700
635,17,78,3800
67,33,73,2300
113,44,78,2100
569,51,73,1400
398,11,76,200
954,15,61,1800
335,4,56,700
113,38,74,3800
579,2,56,200
413,3,80,2500
66,6,67,2800
189,8,54,1800
623,37,69,3700
993,17,66,1800
911,19,73,3500
362,9,71,500
352,42,71,4000
299,27,75,2500
293,43,67,300
757,27,69,300
198,12,66,400
117,32,63,1500
780,27,56,2600
921,49,75,3600
443,12,80,700
568,38,68,300
879,39,66,2500
461,25,54,3400
868,42,60,3900
825,42,73,3700
760,39,57,2200
159,29,58,2100
900,16,76,400
37,24,73,2400
168,16,66,1000
580,39,53,1700
136,39,68,3800
630,39,58,2300
218,18,68,2500
571,7,76,2400
851,24,60,1600
823,31,65,1400
502,36,69,3800
329,34,50,500
982,26,73,2700
601,15,56,3600
598,45,75,3100
956,45,57,1200
96,14,62,900
396,24,68,1200
781,47,60,700
857,8,64,2000
74,34,52,800
757,30,69,2900
888,44,80,1900
627,15,72,3300
74,41,73,400
481,19,65,300
648,43,76,2000
697,21,80,3700
261,2,52,900
128,26,51,2900
177,16,79,2000
783,35,65,1900
902,32,61,1600
604,21,62,3700
340,24,69,1500
205,9,68,1900
422,33,56,700
596,3,75,3700
770,7,76,1300
567,3,60,0
961,30,68,800
13,49,57,1300
836,35,72,500
13,30,52,3600
349,5,75,3800
254,7,59,2200
318,37,62,2400
713,17,72,2700
629,36,59,1100
168,48,66,600
358,46,59,3800
680,27,57,3300
303,45,53,2800
977,12,75,0
846,9,69,3700
222,14,60,1300
395,16,64,3200
341,39,71,400
692,31,55,200
892,51,51,200
705,50,79,1600
728,20,72,1900
732,44,72,1300
955,8,63,400
757,11,54,3300
680,3,51,4000
840,20,54,300
641,27,69,1800
905,44,52,2500
143,42,52,4000
871,33,73,1300
96,30,78,1600
50,26,58,3300
528,46,78,3100
1004,26,57,900
164,28,52,700
150,43,58,1200
615,30,76,4000
551,47,51,2400
702,40,70,1800
999,30,64,3700
351,49,54,400
359,5,54,2600
507,10,57,1500
109,24,58,400
1008,3,56,1700
784,44,63,2400
478,8,53,1900
733,23,73,2100
141,12,71,2500
931,8,65,3900
753,6,51,1500
330,1,58,2100
343,20,57,4000
49,4,80,3900
639,33,75,2300
401,32,64,2300
515,33,59,2800
934,26,52,3800
354,12,60,900
498,27,67,2400
793,16,61,3800
773,24,68,700
534,27,52,700
159,37,70,2700
370,40,65,1200
291,28,74,2800
174,13,64,200
135,7,60,1500
534,9,66,0
243,31,60,1800
452,46,72,1800
150,20,54,2100
851,23,61,1300
1008,11,79,1200
216,1,53,3400
801,41,62,500
709,40,60,1200
498,30,77,4000
261,12,80,2400
851,49,50,3100
316,50,76,2300
436,6,62,0
453,33,60,400
55,10,62,1500
783,50,57,1700
825,7,51,1600
130,34,74,2700
514,21,66,1400
231,45,72,300
507,34,76,3200
119,32,70,2000
445,34,54,1900
954,46,80,1500
719,6,54,2000
507,49,78,800
704,39,54,3300
697,47,78,3700
456,39,71,1700
119,2,67,2000
429,36,71,3700
49,2,57,600
872,22,74,1000
11,25,77,3000
140,51,73,2900
961,52,55,2500
240,47,75,1800
966,23,70,3200
81,42,67,1100
981,28,77,200
941,50,75,2900
907,24,69,3800
579,39,54,800
596,27,71,2500
925,21,51,1500
239,50,64,1400
336,31,55,2000
266,8,72,1900
605,25,77,1800
497,29,70,1200
131,4,71,1100
270,18,70,2900
86,24,76,400
327,46,55,3500
672,40,50,1600
797,38,79,700
205,18,79,400
166,2,50,300
629,29,77,400
139,38,57,2700
843,32,53,600
862,15,79,500
132,35,56,4000
815,27,75,100
223,21,69,600
655,47,55,900
232,17,71,3900
860,2,72,400
949,7,67,1900
716,5,77,700
382,8,55,1800
901,12,60,400
835,21,77,3200
123,24,65,400
155,32,75,100
484,7,58,1700
383,21,58,300
537,5,61,2200
417,35,75,2200
58,44,54,600
436,40,79,3500
508,47,61,3100
796,43,77,0
178,28,54,0
777,43,72,200
171,9,59,4000
749,48,55,2000
395,52,64,4000
986,45,63,2300
377,24,59,200
313,26,59,3600
388,14,60,2800
464,11,73,3200
68,5,70,2600
878,18,62,1000
345,25,68,3000
520,14,65,1800
515,42,78,600
940,47,53,1200
477,50,57,3400
759,39,68,1600
409,15,69,2800
185,30,77,3400
496,34,66,3600
906,36,58,3500
558,43,66,3200
604,8,66,100
155,26,51,1800
682,4,80,1600
537,45,67,1700
826,14,77,0
412,25,60,2000
259,52,79,2600
383,26,51,300
523,20,50,3200
604,5,73,1200
971,47,75,2700
153,9,52,3700
927,11,73,2600
97,17,61,1900
683,20,63,2500
377,41,64,3400
198,36,50,2200
476,10,64,1400
160,39,71,1700
134,36,79,400
543,22,61,3100
590,21,72,3700
827,12,59,1300
413,33,66,2400
60,49,74,700
310,32,79,2700
792,42,54,3800
121,39,76,2800
253,20,75,400
710,37,73,3900
524,40,64,2100
482,5,60,3700
622,30,62,2800
845,29,71,1900
706,11,52,1100
380,29,61,3100
988,35,53,2500
468,1,54,600
916,15,65,100
425,13,76,3500
914,52,53,400
759,37,77,3200
564,6,72,2000
335,41,79,1200
424,16,78,600
636,16,53,600
831,48,54,4000
418,40,70,3200
543,18,54,2800
766,28,52,3500
996,46,61,2600
59,26,60,2400
534,1,77,2300
768,40,79,100
179,48,64,1700
903,12,51,3000
436,43,66,3200
541,14,79,3100
383,16,57,600
473,31,80,1300
1004,15,63,1800
730,39,70,1300
178,30,64,800
31,1,79,300
906,19,57,600
518,42,65,2400
903,24,75,3300
28,37,63,2800
496,1,53,3400
83,30,75,0
957,17,75,0
326,22,62,2700
80,28,59,700
440,12,51,3100
830,44,54,3400
110,3,64,1900
528,24,54,3100
136,12,74,3800
911,42,78,1600
152,13,51,1900
224,2,74,1600
483,37,78,3000
712,46,80,900
329,40,63,2500
691,26,76,0
908,34,72,1200
376,10,60,2800
723,51,58,3000
756,46,70,600
445,21,56,2400
166,49,67,2200
61,35,64,1500
243,26,64,1200
164,5,73,3500
867,8,67,3000
372,19,50,3800
163,3,51,3000
810,29,80,2900
717,12,65,500
417,51,80,3000
32,22,74,1400
999,46,51,3400
333,49,59,1300
695,28,52,1800
491,12,73,2700
728,45,68,3900
891,8,78,0
39,9,65,3200
624,35,77,3100
864,35,74,3400
13,40,55,100
663,45,66,4000
218,44,73,2400
283,10,76,900
841,20,66,100
989,27,74,2600
522,7,61,800
959,25,50,800
195,14,59,2200
277,29,71,2000
373,22,53,2200
789,8,76,400
146,46,75,2700
898,8,72,1500
821,31,77,3300
555,52,51,1200
466,30,56,1500
789,37,68,1400
604,13,56,2400
976,13,76,200
905,3,51,1200
235,23,53,2400
732,50,77,2200
857,29,79,3500
576,23,52,2500
123,32,58,1100
230,5,73,2400
821,32,65,1600
101,17,54,3200
435,7,73,2600
28,45,61,1700
159,30,70,3500
737,45,65,4000
431,29,71,200
381,36,68,800
780,23,69,2800
762,20,50,2400
554,31,73,2600
699,12,53,2800
364,33,79,3400
972,17,58,3600
37,39,57,200
847,10,65,1300
600,46,68,3800
691,32,67,1400
543,12,50,1000
999,6,80,2800
31,43,74,1600
254,11,67,1500
472,15,64,1400
485,36,78,2400
433,7,62,3200
220,31,63,800
400,21,61,1400
512,14,69,1100
645,52,71,3200
35,7,79,3600
703,15,74,0
90,12,55,3600
277,35,71,800
911,14,69,2600
740,47,54,2200
39,6,63,1100
516,38,64,2700
941,24,64,500
878,8,79,2200
215,20,67,200
376,36,74,300
597,17,78,1300
815,5,65,2700
153,50,67,700
772,25,74,2500
275,31,79,1100
568,27,58,3300
291,38,61,100
779,11,55,2500
158,15,71,3100
765,4,61,100
427,28,61,2300
981,17,68,4000
936,9,65,2200
553,34,61,2100
205,29,69,2400
681,20,71,1600
304,19,53,2600
558,8,77,4000
284,4,62,2000
546,9,52,1300
794,31,58,900
56,6,73,3400
1003,12,72,700
320,26,70,3000
687,37,53,1200
721,39,66,3200
400,44,58,3500
262,6,78,1800
852,24,56,2000
670,31,67,1600
294,9,55,800
905,44,54,1400
560,50,52,500
276,45,79,2800
293,26,57,2700
540,10,56,3500
104,27,75,1000
780,47,58,800
817,33,55,1600
518,45,63,2100
699,16,67,700
888,29,61,3900
269,25,73,3600
321,24,62,3800
285,39,52,3400
907,21,65,3500
64,26,78,3400
705,39,77,3800
353,2,78,3300
339,30,66,3100
58,34,55,500
231,27,55,1200
963,32,67,700
653,33,56,1900
909,8,53,1500
328,37,53,3800
649,43,66,1500
210,46,60,900
882,16,53,1000
442,33,78,2600
376,2,69,2700
567,19,52,500
389,33,63,2100
420,10,69,900
922,39,50,2000
759,22,56,300
318,20,73,500
336,11,74,2800
54,16,68,2700
296,6,70,2500
850,7,70,1600
279,50,53,3400
512,15,51,1500
381,30,71,2400
17,49,69,1600
914,44,57,0
395,30,59,2800
944,40,74,1900
855,27,58,2100
466,35,66,2000
16,22,52,2600
102,49,54,1900
530,27,78,500
159,34,50,3100
566,41,76,3500
269,28,60,2300
12,51,79,700
653,4,71,800
264,20,68,3400
986,25,69,1000
725,4,55,600
551,39,63,500
680,50,76,200
200,32,56,2500
54,18,68,2900
971,31,74,700
1005,35,58,900
519,25,75,2100
744,43,62,3900
796,29,58,1000
800,14,69,2000
847,39,54,0
789,45,66,3400
147,40,53,2700
318,4,66,3600
875,48,56,900
950,23,79,600
996,25,60,3500
846,3,77,2900
460,41,56,2500
230,13,70,2400
703,41,58,3400
120,14,73,3100
461,35,61,400
615,48,80,3600
764,44,80,700
393,17,69,4000
836,10,80,1100
910,38,57,4000
913,26,67,3100
927,32,73,2300
654,1,70,2500
728,30,77,1700
807,16,73,2100
955,51,67,2400
65,45,51,400
531,16,51,2800
728,36,73,3900
218,50,75,3000
859,27,51,400
816,28,67,2600
808,26,56,3700
792,40,70,3600
66,24,74,1700
965,24,76,3800
741,43,56,1600
265,27,58,4000
706,24,51,3100
673,3,59,1000
552,47,70,3800
380,25,61,800
234,22,79,4000
185,33,78,3200
742,42,65,2200
518,43,65,3200
584,3,58,600
237,8,69,2500
330,31,57,1200
72,38,71,0
705,40,50,3600
169,10,50,2500
186,19,56,200
837,26,61,2700
110,45,71,2300
366,50,74,3300
668,49,58,3700
521,39,52,3400
919,20,54,600
1000,45,78,3700
341,39,78,1400
119,18,69,1600
63,24,79,1000
798,32,63,500
667,26,73,200
23,52,68,900
233,16,68,2300
19,24,65,4000
473,14,74,1500
211,4,72,2400
799,47,52,300
779,36,65,2500
1008,22,66,800
432,41,73,3400
962,48,52,900
781,52,76,3600
874,41,60,800
729,33,61,800
161,31,63,2800
531,33,78,1100
69,43,80,3300
647,20,54,2600
830,33,63,2400
216,10,69,4000
494,6,79,1900
897,8,59,1300
705,37,52,3700
375,35,62,3700
525,9,60,700
627,22,79,3500
556,33,78,1800
952,50,71,4000
145,2,74,0
879,11,68,4000
821,37,61,100
472,42,59,2300
936,1,78,1200
880,41,72,3200
385,47,80,4000
137,39,54,1200
159,23,66,3300
152,12,76,0
472,2,64,3300
583,20,53,1200
659,21,60,3700
224,7,64,1900
497,16,76,4000
264,47,63,400
711,52,58,3600
427,35,70,1700
367,22,50,2400
506,22,54,3100
101,22,67,900
911,22,58,3500
258,1,71,1800
62,25,66,2000
136,41,62,3400
378,28,65,800
321,47,75,4000
951,17,56,3800
13,27,70,2700
165,19,61,3700
232,52,73,3100
961,14,63,1700
647,30,80,3700
974,26,71,2200
170,13,63,2600
461,18,77,4000
489,24,72,600
811,6,60,3400
930,44,66,500
523,18,51,1200
340,40,75,3300
402,6,78,3500
584,15,69,500
213,51,60,2600
112,1,78,3500
46,18,58,1600
790,5,66,1400
172,18,66,3100
336,34,50,1100
44,45,56,600
762,31,68,1300
151,40,57,300
269,2,76,4000
765,9,77,3000
313,50,52,1200
917,20,64,3300
455,49,79,3900
397,37,65,2600
235,22,76,1300
393,3,50,2000
536,16,57,3000
193,32,54,1000
243,2,69,3100
289,48,52,3600
61,14,61,3400
734,49,69,3800
678,46,66,1800
850,3,74,2700
38,42,57,700
908,32,63,1900
223,28,66,600
783,26,52,2400
880,46,79,500
161,42,73,1300
921,6,80,0
927,38,78,3100
1003,11,77,2400
68,52,61,3000
11,8,67,2400
330,49,73,3500
454,42,65,900
706,49,72,2300
529,20,68,2400
36,14,50,2900
914,41,50,200
939,46,72,3100
377,27,78,2100
83,27,62,500
974,13,67,600
294,31,79,300
977,16,64,3900
942,29,54,600
700,16,73,1300
591,34,66,2200
228,10,63,2700
709,19,68,2800
737,52,56,1700
221,48,57,3300
238,12,50,2700
507,21,68,1600
161,10,52,4000
400,9,74,1800
188,26,71,700
373,3,50,800
334,11,55,300
390,44,50,1400
401,41,80,1000
79,50,77,500
519,6,79,2000
127,39,70,500
677,29,58,700
47,36,64,200
76,6,68,300
750,6,65,2200
636,24,60,3700
88,35,69,900
330,45,71,900
883,11,70,3100
679,21,67,3200
390,6,55,3800
734,26,76,2100
523,30,51,800
92,45,73,3900
383,33,67,2000
929,4,67,500
930,2,72,3400
700,16,73,0
760,51,68,1800
857,15,63,200
973,37,65,0
957,45,75,1200
435,6,66,3300
384,10,77,3800
840,19,66,2300
506,45,52,3200
122,45,71,2600
586,44,57,700
350,48,68,4000
494,43,79,2000
321,31,51,200
279,5,74,4000
279,51,61,2300
969,23,55,3300
183,48,50,1200
478,24,63,3500
908,1,70,3000
714,44,62,1100
79,4,55,2600
204,30,74,3500
876,35,59,3400
77,44,53,1600
605,15,78,2600
682,38,77,2900
856,30,69,2600
1006,45,51,3500
644,19,51,1800
775,36,71,2200
704,5,60,900
748,34,71,1100
346,12,60,1700
116,17,58,2800
541,50,68,1800
461,41,61,1300
646,16,54,2200
944,27,52,1000
331,51,61,2000
147,49,66,800
107,20,55,3800
259,35,60,1500
29,10,51,200
686,30,52,2200
198,44,53,1000
299,20,75,2000
738,12,80,1900
710,40,75,2600
117,21,67,3600
252,41,63,200
401,52,55,2500
813,35,69,2200
182,16,79,400
510,34,51,2100
55,13,80,700
59,16,67,1200
995,49,50,1100
963,26,50,300
875,29,65,3400
194,4,73,3800
770,31,61,2000
176,34,50,2700
941,22,60,2000
373,14,66,1400
420,31,77,2100
727,40,75,1900
311,1,63,2200
682,32,76,500
790,46,61,3900
479,27,54,3900
369,48,63,2600
898,48,72,500
707,34,73,1200
81,43,74,3000
143,30,60,2500
548,31,56,900
1003,51,58,1300
648,51,78,4000
651,6,70,2400
644,34,58,200
540,52,70,0
395,19,63,1300
734,51,80,1700
927,27,70,1400
281,42,71,4000
141,26,77,700
497,50,68,700
642,4,65,2400
885,7,70,1600
711,40,76,1800
950,11,60,500
602,28,60,4000
251,2,62,2100
354,29,54,2700
204,47,65,2200
906,24,73,800
903,15,60,2900
77,40,59,2400
342,1,70,900
296,15,78,3600
919,1,57,2400
998,11,65,600
602,44,75,2700
563,49,71,500
992,16,76,3000
684,15,78,3900
748,18,78,3300
889,30,50,800
604,37,66,200
132,52,52,1300
786,5,55,1100
350,1,55,0
654,49,50,2400
34,35,59,2800
899,19,70,3200
380,1,52,100
434,20,67,3500
163,37,62,3400
805,27,77,3900
130,36,73,3900
973,4,73,1200
59,45,63,2700
519,44,50,3100
205,50,77,100
89,8,77,3200
339,45,62,4000
633,42,73,2100
798,47,50,1800
370,4,77,3300
213,33,63,1400
205,16,52,1800
415,25,56,200
280,23,63,3800
148,24,53,3200
293,15,70,1400
324,13,69,2400
582,31,52,1100
563,5,79,2600
128,43,73,4000
420,18,57,2500
637,31,57,1800
393,8,70,500
679,50,65,400
777,51,71,3300
750,42,66,3900
30,26,65,2600
69,26,60,100
19,51,56,3600
124,38,57,1300
532,5,55,3200
318,10,62,300
78,44,62,1300
85,41,54,3400
239,9,57,400
160,33,78,3600
987,10,50,3500
725,32,77,100
484,5,59,600
769,41,71,3500
967,24,77,900
1001,24,51,1500
606,19,60,0
1008,45,60,100
71,48,50,3900
528,25,72,500
193,8,56,900
260,37,80,400
805,43,56,1600
519,48,70,400
896,44,61,400
820,39,50,3200
719,31,78,700
405,19,74,3500
540,36,73,3700
682,50,52,1600
900,48,70,2700
828,31,51,1700
268,36,64,2700
308,32,51,1300
728,15,76,3900
752,15,64,1800
236,23,70,200
223,32,66,2100
93,33,79,2300
427,40,63,2200
163,33,54,1800
973,21,69,2800
250,40,77,3500
1000,51,53,400
54,19,74,3800
704,6,56,0
190,20,52,1800
260,7,53,3500
314,12,79,3400
986,21,55,700
717,16,51,1500
540,14,69,2000
281,48,53,1800
861,48,60,3900
539,46,61,3900
622,17,69,2300
54,42,59,2800
175,3,74,0
343,36,73,1200
391,23,51,1900
958,45,78,1400
798,20,73,3600
957,16,61,2100
1001,51,64,1900
18,46,69,3800
532,44,77,1600
370,22,61,1600
595,18,50,3500
568,38,72,100
269,32,72,3000
720,9,53,1900
707,26,63,700
977,7,56,3500
268,1,68,3800
1008,16,59,3700
827,3,50,3200
75,22,52,2200
852,10,71,3200
382,21,75,1500
668,16,75,400
536,39,80,2000
265,48,73,0
684,22,57,400
981,6,68,1200
899,19,59,3800
161,27,56,4000
856,41,67,3200
349,21,65,1800
165,47,59,1200
37,4,67,900
534,9,73,0
478,23,53,2100
510,50,70,3200
452,51,73,1400
1006,19,60,500
536,13,67,1700
78,36,55,1300
607,24,65,1500
940,46,55,200
746,21,80,2100
495,37,77,3100
404,36,77,1300
962,12,80,400
602,16,80,700
63,29,69,1500
842,42,51,2300
403,38,68,1800
26,36,75,1600
328,28,55,3700
822,40,80,2600
1000,23,53,100
595,27,68,200
281,52,63,2000
591,7,77,2700
389,24,63,1400
25,33,63,800
133,22,59,200
706,29,79,900
281,22,52,3200
191,13,50,100
426,21,51,200
557,26,61,1800
899,52,69,1600
448,30,54,200
120,34,53,3700
286,14,54,3900
88,15,59,2600
114,35,62,2400
637,49,65,3300
435,50,54,2700
957,2,61,1600
925,46,74,3700
963,11,52,3600
345,17,66,3000
410,11,76,600
467,11,71,3800
266,4,63,900
173,38,75,1500
989,51,74,3000
90,28,79,1600
837,9,72,3700
939,26,61,1900
26,22,54,800
453,46,67,3600
739,11,74,1400
907,9,66,3600
256,13,76,2000
411,2,68,2200
756,44,68,3400
783,43,53,1800
339,22,59,2800
442,47,76,500
296,18,60,200
290,41,58,1300
773,31,71,3900
435,44,80,600
737,38,77,1400
482,26,56,1000
527,13,61,3500
413,51,76,2600
94,35,58,0
149,30,57,1000
336,23,78,3800
93,10,62,3100
376,6,76,1200
583,15,65,600
819,50,51,2000
849,10,62,3800
82,49,56,800
666,37,57,3300
855,26,80,500
82,8,80,3300
290,50,72,1000
137,28,71,1300
412,50,50,600
155,34,73,3600
975,35,80,0
86,13,70,3600
38,37,80,3100
169,18,79,2300
135,49,74,900
788,25,55,800
688,12,50,2600
259,20,50,2800
112,10,77,600
920,37,63,2400
672,44,51,2600
717,26,63,600
203,32,69,200
171,25,67,500
510,29,63,3200
225,6,74,2900
711,25,53,400
653,51,55,1000
496,14,60,3800
441,17,68,400
253,4,50,400
663,41,51,2300
190,16,65,3700
161,39,55,3400
401,34,78,2800
662,39,65,2400
317,52,61,1400
647,44,74,1800
681,5,75,3600
189,20,60,1400
250,33,53,1200
245,36,64,1900
907,11,69,1900
123,9,73,900
965,48,53,2300
443,2,67,3300
790,16,79,3500
168,8,78,2700
